query,doi,title
user trust and privacy violation after corporate data breach,10.1287/isre.2023.0391,Reactions by Actual Data Breach Victims over Time: Evidence from Facebook’s Cambridge Analytica Breach
psychological contract theory application in social media privacy incidents,10.1287/isre.2023.0391,Reactions by Actual Data Breach Victims over Time: Evidence from Facebook’s Cambridge Analytica Breach
victim versus nonvictim behavioral responses to platform data misuse,10.1287/isre.2023.0391,Reactions by Actual Data Breach Victims over Time: Evidence from Facebook’s Cambridge Analytica Breach
digital platform viability and user adoption in peer-to-peer lending,10.1287/isre.2022.0631,Asymmetric and Contingent Value of Crowd Wisdom in Crowdfunding
signaling theory application in crowdfunding platform growth,10.1287/isre.2022.0631,Asymmetric and Contingent Value of Crowd Wisdom in Crowdfunding
impact of social learning on investor trust in fintech platforms,10.1287/isre.2022.0631,Asymmetric and Contingent Value of Crowd Wisdom in Crowdfunding
multichannel consumer behavior e-commerce platforms digital footprints,10.1287/isre.2024.0991,Analyzing Consumer Footprints on E-Commerce Platforms: A Multichannel Sequential Search Model with Reference Price
reference-dependent preferences anchoring adjustment online shopping search,10.1287/isre.2024.0991,Analyzing Consumer Footprints on E-Commerce Platforms: A Multichannel Sequential Search Model with Reference Price
optimizing platform design using cross-channel clickstream data consumer journeys,10.1287/isre.2024.0991,Analyzing Consumer Footprints on E-Commerce Platforms: A Multichannel Sequential Search Model with Reference Price
social media platform governance and user content moderation effects,10.1287/isre.2023.0750,Balancing Acts: Unveiling the Dynamics of Post Removal on Social Media User-Generated Content
Social Cognitive Theory application to user behavior after content removal,10.1287/isre.2023.0750,Balancing Acts: Unveiling the Dynamics of Post Removal on Social Media User-Generated Content
impact of post deletion on user engagement and continuance intention,10.1287/isre.2023.0750,Balancing Acts: Unveiling the Dynamics of Post Removal on Social Media User-Generated Content
organizational culture impact on enterprise system workarounds and compliance,10.1287/isre.2021.0417,Conform or Workaround? A Multilevel Analysis of the Effect of Group Cultural Tightness on Enterprise System Use
cultural tightness-looseness theory application to ERP implementation and governance,10.1287/isre.2021.0417,Conform or Workaround? A Multilevel Analysis of the Effect of Group Cultural Tightness on Enterprise System Use
how team norms influence user adoption and workarounds in enterprise software,10.1287/isre.2021.0417,Conform or Workaround? A Multilevel Analysis of the Effect of Group Cultural Tightness on Enterprise System Use
mHealth adoption and effectiveness in maternal health information systems,10.1287/isre.2022.0414,The Role of the User Information Environment in mHealth Effectiveness
Information Integration Theory application in mobile health interventions,10.1287/isre.2022.0414,The Role of the User Information Environment in mHealth Effectiveness
How user information sources influence mHealth continuance intention,10.1287/isre.2022.0414,The Role of the User Information Environment in mHealth Effectiveness
user contributions to IT services and continuance intention,10.1287/isre.2021.0620,Contribute to MY IT Service: Encouraging Technology Extra-Role Behaviors in User-Artifact Interactions from a Psychological Ownership Perspective
psychological ownership theory in algorithm-based digital platforms,10.1287/isre.2021.0620,Contribute to MY IT Service: Encouraging Technology Extra-Role Behaviors in User-Artifact Interactions from a Psychological Ownership Perspective
encouraging voluntary user behaviors in access-based IT services,10.1287/isre.2021.0620,Contribute to MY IT Service: Encouraging Technology Extra-Role Behaviors in User-Artifact Interactions from a Psychological Ownership Perspective
auditing framework for AI agent decision-making in organizational deployment,10.1287/isre.2024.0857,SUVA: A Probabilistic Framework for Auditing LLMs with an Application to Social Preferences
prospect theory application to behavioral auditing of large language models,10.1287/isre.2024.0857,SUVA: A Probabilistic Framework for Auditing LLMs with an Application to Social Preferences
evaluating social preferences in LLM-based customer service agents,10.1287/isre.2024.0857,SUVA: A Probabilistic Framework for Auditing LLMs with an Application to Social Preferences
employee compliance with organizational AI policy and usage guidelines,10.1287/isre.2023.0580,Toward Artificial Intelligence Compliance: Impacts and Mechanisms of Performance Feedback
Feedback Intervention Theory applied to AI governance and user behavior,10.1287/isre.2023.0580,Toward Artificial Intelligence Compliance: Impacts and Mechanisms of Performance Feedback
managing AI adoption through performance feedback to ensure policy adherence,10.1287/isre.2023.0580,Toward Artificial Intelligence Compliance: Impacts and Mechanisms of Performance Feedback
optimal information disclosure strategies for e-commerce flash sales,10.1287/isre.2023.0746,When to Broadcast? Inventory Disclosure Policies for Online Sales of Limited Inventory
herding effect scarcity effect online retail inventory management,10.1287/isre.2023.0746,When to Broadcast? Inventory Disclosure Policies for Online Sales of Limited Inventory
inventory transparency policy for maximizing sales in limited stock events,10.1287/isre.2023.0746,When to Broadcast? Inventory Disclosure Policies for Online Sales of Limited Inventory
employee performance effects of management information systems and transparency,10.1287/isre.2021.0337,The Impact of Transparency-Inducing Management Information System Use on Employees’ Daily Work Performance
privacy calculus theory applied to workplace MIS and employee behavior,10.1287/isre.2021.0337,The Impact of Transparency-Inducing Management Information System Use on Employees’ Daily Work Performance
